Sun Dec 22 18:21:50 2019
Sample:	PolQ_Shield+CPT_P3
Control Sample:	PolQ_Reconstituted_Shield_P3
Library Control:	plDDCAS9
Alpha:	0.1
Upper Null Set Limit:	0.5742159967816755
Lower Null Set Limit:	-0.395823142660881

Gene	Log2	Original p-value	Corrected p-value	Reject Null Hypothesis
Aicda	0.247071	0.452936	0.826048	False
Alkbh2	0.065499	0.390836	0.805366	False
Alkbh3	-0.008305	0.241609	0.753651	False
Apex1	0.022506	0.794549	1.023062	False
Apex2	0.01876	0.518185	0.882225	False
Apobec1	-0.439135	0.025452	0.537188	False
Apobec2	0.267785	0.391551	0.805366	False
Apobec3	-0.278513	0.056424	0.555526	False
Apobec4	-0.04014	0.40172	0.805366	False
Aptx	-0.349598	0.283928	0.755027	False
Arid3a	0.035642	0.717677	1.011211	False
Arid4a	0.525042	0.108131	0.618251	False
Arid4b	-0.22674	0.134346	0.697982	False
Atad5	-0.081709	0.712123	1.010437	False
Atf2	0.057564	0.278268	0.753651	False
Atm	-0.12462	0.519043	0.882225	False
Atr	-0.250809	0.19825	0.739269	False
Atrip	-0.439106	0.208988	0.739269	False
Atrx	0.190924	0.984023	1.083745	False
Aurka	-0.265188	0.058626	0.555526	False
Bard1	-1.072367	5.9e-05	0.009904	True
Blm	0.047808	0.897174	1.063691	False
Brca1	-0.499898	0.01122	0.378908	False
Brca2	-0.784049	0.071163	0.555526	False
Brd4	0.36912	0.380141	0.805366	False
Brip1	-0.072835	0.591058	0.907273	False
Carm1	0.295663	0.243349	0.753651	False
Cbx1	-0.150248	0.070015	0.555526	False
Cbx3	-0.357566	0.153981	0.722213	False
Cbx5	-0.041006	0.428116	0.826048	False
Cbx8	0.290683	0.077785	0.555526	False
Ccnh	0.094383	0.376118	0.805366	False
Cdc5l	-0.152911	0.258761	0.753651	False
Cdc16	0.057868	0.982706	1.083745	False
Cdc25a	-0.278716	0.268426	0.753651	False
Cdc25b	-0.074935	0.044464	0.555526	False
Cdc45	0.098441	0.997008	1.085852	False
Cdk2	0.313307	0.880597	1.062063	False
Cdk7	-0.133771	0.40172	0.805366	False
Cdkn1a	-0.119555	0.463125	0.826087	False
Cdkn2a	0.027812	0.161984	0.735397	False
Chaf1a	-0.398551	0.067339	0.555526	False
Chek1	-0.0684	0.920204	1.079003	False
Chek2	-0.266299	0.069596	0.555526	False
Clk2	-0.024148	0.680724	0.977492	False
Clp1	-0.077773	0.429736	0.826048	False
Clspn	-0.262951	0.452126	0.826048	False
Crebbp	-0.063207	0.641611	0.950316	False
Cul4a	-0.438193	0.004779	0.198381	False
Cul5	-0.182668	0.085037	0.555526	False
Dclre1a	0.336775	0.353511	0.805366	False
Dclre1b	-0.064257	0.742931	1.016928	False
Dclre1c	-0.062533	0.237096	0.750376	False
Ddb1	-0.017431	0.627678	0.942075	False
Ddb2	-0.412988	0.059335	0.555526	False
Ddx1	0.302282	0.746811	1.016928	False
Dkc1	-0.402415	0.206846	0.739269	False
Dmc1	-0.13745	0.351947	0.805366	False
Dna2	-0.557099	0.013526	0.415263	False
Dnmt1	-0.11141	0.443711	0.826048	False
Dnmt3a	0.027175	0.953353	1.083745	False
Dnmt3b	-0.143183	0.391551	0.805366	False
Dut	0.521765	0.310132	0.78158	False
E2f1	-0.202208	0.440905	0.826048	False
Efhd2	-0.077711	0.475114	0.831327	False
Eme1	0.076458	0.657092	0.964782	False
Eme2	0.056967	0.938291	1.083745	False
Endov	0.087293	0.985708	1.083745	False
Ep300	0.379132	0.566231	0.885261	False
Ercc1	-0.039728	0.849749	1.0473	False
Ercc2	0.08688	0.787008	1.023062	False
Ercc3	-0.32445	0.368885	0.805366	False
Ercc4	0.24116	0.760783	1.023062	False
Ercc5	-0.312452	0.005287	0.198381	False
