Running:	Völundr Synthetic_Lethal v1.6.0
Start_Time:	Thu Dec 12 11:35:32 2019
Stop_Time	Mon Dec 16 17:47:11 2019
FASTQ_File:	/pine/scr/d/e/dennis/DDR_Drugs/ASW_1_1.fq.gz
SampleManifest:	/pine/scr/d/e/dennis/DDR_Drugs/ASW1_SampleManafest.txt
Target_File:	/proj/guptalab/Reference_Files/Targets/CRISPR/mDDR_sgRNA.bed
Index_Mismatches	2
Target_Mismatches	1
Target_Padding	2
Expected_Position	61
Min_Read_length	120
Target_Start	20
Target_Length	20
Total_Reads:	527097885
Indexed_Reads:	475310571
Unknown_Count:	51787314
Unknown_Short_Count:	0
Unknown_Full_Length_Count:	51787314

Index Name	Sample Name	Sample Replica	Total Indexed	Full Indexed Reads	Short Indexed Reads	0_mismatches	1_mismatches	2_mismatches	Targeted	Not Targeted	Fraction Targeted
D501+D701	PolQ Reconstituted Untreated P0	1	6880646	6880646	0	6378396	208171	294079	5222089	1658557	0.7589533017684676
D501+D702	PolQ Reconstituted Untreated P0	2	7050628	7050628	0	6538583	216251	295794	5334157	1716471	0.7565506221573454
D501+D703	PolQ Reconstituted Untreated P0	3	6862928	6862928	0	6331564	246909	284455	5180816	1682112	0.7548987837261297
D501+D704	PolQ Reconstituted Shield P0	1	6998480	6998480	0	6491323	217601	289556	5313917	1684563	0.7592958756758611
D501+D705	PolQ Reconstituted Shield P0	2	6662852	6662852	0	6219439	182272	261141	5035440	1627412	0.7557484392569428
D501+D706	PolQ Reconstituted Shield P0	3	7710230	7710230	0	7169619	224564	316047	5853618	1856612	0.7592014764799494
D501+D707	PolQ Reconstituted Shield P1	1	6732117	6732117	0	6238919	206747	286451	5057783	1674334	0.7512916070828835
D501+D708	PolQ Reconstituted Shield P1	2	6739162	6739162	0	6255419	201877	281866	5066454	1672708	0.7517928786991617
D501+D709	PolQ Reconstituted Shield P1	3	6764147	6764147	0	6276409	219122	268616	5098055	1666092	0.7536877894581534
D502+D701	PolQ Reconstituted Shield+MMC P1	1	5988127	5988127	0	5577571	173437	237119	4490685	1497442	0.7499314894289985
D502+D702	PolQ Reconstituted Shield+MMC P1	2	6405300	6405300	0	5966400	194291	244609	4783337	1621963	0.746777980734704
D502+D703	PolQ Reconstituted Shield+MMC P1	3	7894129	7894129	0	7313161	279189	301779	5936892	1957237	0.7520642239314812
D502+D704	PolQ Reconstituted Shield+CPT P1	1	6584940	6584940	0	6147331	193066	244543	4951450	1633490	0.7519354770126987
D502+D705	PolQ Reconstituted Shield+CPT P1	2	6667806	6667806	0	6261640	171418	234748	4997803	1670003	0.749542353211836
D502+D706	PolQ Reconstituted Shield+CPT P1	3	6880388	6880388	0	6431257	185983	263148	5174972	1705416	0.7521337459457228
D502+D707	PolQ Reconstituted Shield P2	1	7485765	7485765	0	6994132	210632	281001	5565659	1920106	0.7434990278214718
D502+D708	PolQ Reconstituted Shield P2	2	6612171	6612171	0	6190850	178010	243311	4927762	1684409	0.7452562857191685
D502+D709	PolQ Reconstituted Shield P2	3	6345617	6345617	0	5926046	197523	222048	4717274	1628343	0.7433909106080622
D503+D701	PolQ Reconstituted Shield+MMC P2	1	6811806	6811806	0	6387747	179302	244757	5082515	1729291	0.7461332574650541
D503+D702	PolQ Reconstituted Shield+MMC P2	2	7797759	7797759	0	7322069	211582	264108	5799608	1998151	0.7437531731873221
D503+D703	PolQ Reconstituted Shield+MMC P2	3	6626217	6626217	0	6165720	222739	237758	4938625	1687592	0.7453159170609716
D503+D704	PolQ Reconstituted Shield+CPT P2	1	7240340	7240340	0	6795865	197511	246964	5383366	1856974	0.7435239229096976
D503+D705	PolQ Reconstituted Shield+CPT P2	2	6280046	6280046	0	5924890	152346	202810	4705594	1574452	0.7492929191919931
D503+D706	PolQ Reconstituted Shield+CPT P2	3	6775720	6775720	0	6356917	177368	241435	5035883	1739837	0.7432247790640699
D503+D707	PolQ Reconstituted Shield P3	1	7463942	7463942	0	7003354	199197	261391	5557979	1905963	0.7446439160432918
D503+D708	PolQ Reconstituted Shield P3	2	6486643	6486643	0	6093419	169251	223973	4847313	1639330	0.7472760563514903
D503+D709	PolQ Reconstituted Shield P3	3	6273113	6273113	0	5884073	182863	206177	4670368	1602745	0.7445056385880503
D504+D701	PolQ Reconstituted Shield+MMC P3	1	6211131	6211131	0	5705596	271081	234454	4629760	1581371	0.7453972553468925
D504+D702	PolQ Reconstituted Shield+MMC P3	2	8176457	8176457	0	7528341	360280	287836	6060820	2115637	0.7412525987723044
D504+D703	PolQ Reconstituted Shield+MMC P3	3	7025652	7025652	0	6413932	350857	260863	5202676	1822976	0.7405257191788036
D504+D704	PolQ Reconstituted Shield+CPT P3	1	6593193	6593193	0	6068673	289199	235321	4923854	1669339	0.7468087162016946
D504+D705	PolQ Reconstituted Shield+CPT P3	2	7289902	7289902	0	6764365	285715	239822	5407994	1881908	0.7418472840924336
D504+D706	PolQ Reconstituted Shield+CPT P3	3	7245132	7245132	0	6681096	302566	261470	5297004	1948128	0.73111214536878
D504+D707	PolQ Untreated P0	1	7137498	7137498	0	6581818	297066	258614	5404977	1732521	0.7572649407397382
D504+D708	PolQ Untreated P0	2	6677022	6677022	0	6157190	283256	236576	5066901	1610121	0.7588564183254152
D504+D709	PolQ Untreated P0	3	5931320	5931320	0	5457432	271502	202386	4509340	1421980	0.7602590991549941
D505+D701	PolQ Shield P0	1	6318621	6318621	0	5913591	176601	228429	4767328	1551293	0.754488677197129
D505+D702	PolQ Shield P0	2	7308548	7308548	0	6842696	217737	248115	5524615	1783933	0.755911434117967
D505+D703	PolQ Shield P0	3	7396527	7396527	0	6881229	254777	260521	5614012	1782515	0.7590064904785719
D505+D704	PolQ Shield P1	1	6980990	6980990	0	6539668	203219	238103	5319314	1661676	0.7619712963347606
D505+D705	PolQ Shield P1	2	6541459	6541459	0	6160420	169897	211142	4880310	1661149	0.7460583334696433
D505+D706	PolQ Shield P1	3	7085024	7085024	0	6649121	187758	248145	5308642	1776382	0.7492765020979463
D505+D707	PolQ Shield+MMC P1	1	7910805	7910805	0	7416324	219793	274688	5916943	1993862	0.7479571295209527
D505+D708	PolQ Shield+MMC P1	2	6382915	6382915	0	5992873	172942	217100	4767799	1615116	0.7469626338436278
D505+D709	PolQ Shield+MMC P1	3	5912144	5912144	0	5531836	186989	193319	4427645	1484499	0.7489068263560563
D506+D701	PolQ Shield+CPT P1	1	7728021	7728021	0	7159392	278887	289742	5779406	1948615	0.7478507110682023
D506+D702	PolQ Shield+CPT P1	2	7853154	7853154	0	7283335	290467	279352	5949182	1903972	0.7575532072846146
D506+D703	PolQ Shield+CPT P1	3	6441352	6441352	0	5923066	274872	243414	4839317	1602035	0.7512890151011775
D506+D704	PolQ Shield P2	1	6449328	6449328	0	5973798	241393	234137	4750478	1698850	0.7365849589290543
D506+D705	PolQ Shield P2	2	6967100	6967100	0	6498645	231731	236724	5118537	1848563	0.7346725323305249
D506+D706	PolQ Shield P2	3	6893554	6893554	0	6396589	239980	256985	5058628	1834926	0.7338200295522455
D506+D707	PolQ Shield+MMC P2	1	7155420	7155420	0	6632993	258105	264322	5241955	1913465	0.7325852290990605
D506+D708	PolQ Shield+MMC P2	2	6405908	6405908	0	5948293	226302	231313	4675820	1730088	0.7299230647708335
D506+D709	PolQ Shield+MMC P2	3	6456717	6456717	0	5982523	251269	222925	4737564	1719153	0.7337419310773571
D507+D701	PolQ Shield+CPT P2	1	5640741	5640741	0	5226568	193398	220775	4112130	1528611	0.7290052849439462
D507+D702	PolQ Shield+CPT P2	2	7422592	7422592	0	6892473	257447	272672	5389821	2032771	0.7261373116022004
D507+D703	PolQ Shield+CPT P2	3	7221002	7221002	0	6674639	275464	270899	5342128	1878874	0.7398042543126286
D507+D704	PolQ Shield P3	1	6240660	6240660	0	5788721	217828	234111	4589760	1650900	0.7354606724288777
D507+D705	PolQ Shield P3	2	7019346	7019346	0	6563618	212556	243172	5165476	1853870	0.7358913494220117
D507+D706	PolQ Shield P3	3	7663278	7663278	0	7125165	248926	289187	5612396	2050882	0.7323753620839542
D507+D707	PolQ Shield+MMC P3	1	7511630	7511630	0	6971376	256783	283471	5506694	2004936	0.7330890898513371
D507+D708	PolQ Shield+MMC P3	2	7165867	7165867	0	6657006	244532	264329	5262119	1903748	0.7343311004795372
D507+D709	PolQ Shield+MMC P3	3	5502535	5502535	0	5101009	204137	197389	4034457	1468078	0.733199697957396
D508+D701	PolQ Shield+CPT P3	1	6642590	6642590	0	6223560	196197	222833	4888099	1754491	0.7358724533653289
D508+D702	PolQ Shield+CPT P3	2	7984126	7984126	0	7476935	254229	252962	5792371	2191755	0.7254859204376284
